index,ot1,nb1,cb1,ep1,wc1,ot2,nb2,cb2,ep2,wc2,ot3,nb3,cb3,ep3,wc3,ot4,nb4,cb4,ep4,wc4,ot5,nb5,cb5,ep5,wc5,ot6,nb6,cb6,ep6,wc6,ot7,nb7,cb7,ep7,wc7,ot9,nb9,cb9,ep9,wc9,ot10,nb10,cb10,ep10,wc10,ot11,nb11,cb11,ep11,wc11,ot12,nb12,cb12,ep12,wc12,pain_status
mr_DSC_3771.JPG,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_3772.JPG,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_3776.JPG,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_3777.JPG,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_3783.JPG,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_3784.JPG,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_3786.JPG,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_3788.JPG,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_3802.JPG,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_2725.JPG,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_2733.JPG,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
mr_DSC_2735.JPG,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pain
